step,loss,mean_score,median_score,std_score,max_score,min_score
353000,3.7,1.8,2.0,0.98,3.0,0.0
354000,3.72,1.6,1.0,1.74,4.0,0.0
355000,3.71,1.3,2.0,1.1,3.0,0.0
356000,3.7,0.6,0.0,0.92,2.0,0.0
357000,3.72,2.0,2.0,0.77,3.0,0.0
358000,3.71,0.9,0.0,1.14,3.0,0.0
359000,3.72,0.0,0.0,0.0,0.0,0.0
360000,3.72,1.5,1.0,1.86,6.0,0.0
361000,3.71,0.0,0.0,0.0,0.0,0.0
362000,3.7,0.0,0.0,0.0,0.0,0.0
363000,3.71,1.0,1.0,1.0,2.0,0.0
364000,3.72,2.1,2.0,0.83,3.0,0.0
365000,3.7,2.3,2.0,1.49,5.0,0.0
366000,3.71,0.0,0.0,0.0,0.0,0.0
367000,3.72,1.0,1.0,1.0,2.0,0.0
368000,3.71,1.8,2.0,1.72,5.0,0.0
369000,3.71,2.1,2.0,0.94,4.0,0.0
370000,3.71,1.1,0.0,1.92,6.0,0.0
371000,3.71,1.6,0.0,2.2,6.0,0.0
372000,3.7,0.4,0.0,0.8,2.0,0.0
373000,3.69,0.4,0.0,0.8,2.0,0.0
374000,3.69,2.5,2.5,2.29,6.0,0.0
375000,3.7,0.9,0.0,1.14,3.0,0.0
376000,3.7,0.8,0.0,1.08,3.0,0.0
377000,3.71,2.0,2.0,1.18,4.0,0.0
378000,3.7,1.0,0.0,1.34,4.0,0.0
379000,3.71,1.2,0.0,1.89,5.0,0.0
380000,3.7,1.0,0.0,1.61,4.0,0.0
381000,3.68,0.0,0.0,0.0,0.0,0.0
382000,3.69,1.6,2.0,1.11,3.0,0.0
383000,3.68,0.0,0.0,0.0,0.0,0.0
384000,3.68,1.7,2.0,0.64,2.0,0.0
385000,3.69,2.0,2.0,0.89,4.0,0.0
386000,3.68,1.2,2.0,0.98,2.0,0.0
387000,3.69,1.7,2.0,0.9,3.0,0.0
388000,3.68,0.0,0.0,0.0,0.0,0.0
389000,3.7,1.6,2.0,0.8,2.0,0.0
390000,3.69,2.6,2.0,0.92,5.0,2.0
391000,3.68,2.4,2.0,0.66,4.0,2.0
392000,3.68,2.3,2.0,1.1,4.0,0.0
393000,3.69,0.0,0.0,0.0,0.0,0.0
394000,3.68,0.0,0.0,0.0,0.0,0.0
395000,3.69,1.1,0.0,1.37,3.0,0.0
396000,3.68,2.1,2.0,0.3,3.0,2.0
397000,3.67,1.5,0.0,1.91,5.0,0.0
398000,3.67,2.1,2.0,1.64,5.0,0.0
399000,3.68,2.6,2.5,1.69,5.0,0.0
400000,3.57,2.0,2.0,1.61,5.0,0.0
401000,3.67,0.0,0.0,0.0,0.0,0.0
402000,3.68,2.6,2.0,1.5,5.0,0.0
403000,3.67,2.0,2.0,0.89,4.0,0.0
404000,3.67,0.0,0.0,0.0,0.0,0.0
405000,3.66,1.4,2.0,1.28,4.0,0.0
406000,3.67,0.0,0.0,0.0,0.0,0.0
407000,3.69,0.4,0.0,0.8,2.0,0.0
408000,3.68,0.0,0.0,0.0,0.0,0.0
409000,3.68,1.5,1.0,1.63,4.0,0.0
410000,3.68,1.9,2.0,0.7,3.0,0.0
411000,3.67,1.9,2.0,1.51,5.0,0.0
412000,3.67,2.2,2.0,1.33,4.0,0.0
413000,3.67,1.9,2.0,0.7,3.0,0.0
414000,3.66,2.5,2.0,2.38,6.0,0.0
415000,3.67,2.3,2.0,1.0,4.0,0.0
416000,3.67,0.8,0.0,1.25,3.0,0.0
417000,3.68,2.1,2.0,0.3,3.0,2.0
418000,3.66,1.4,0.0,2.15,5.0,0.0
419000,3.67,2.0,2.0,1.48,4.0,0.0
420000,3.56,0.0,0.0,0.0,0.0,0.0
421000,3.66,2.0,2.0,1.48,4.0,0.0
422000,3.67,1.1,0.0,1.81,5.0,0.0
423000,3.67,1.9,2.0,1.14,4.0,0.0
424000,3.67,0.0,0.0,0.0,0.0,0.0
425000,3.66,2.2,2.0,0.87,3.0,0.0
426000,3.66,0.0,0.0,0.0,0.0,0.0
427000,3.67,0.8,0.0,1.25,3.0,0.0
428000,3.67,2.6,2.0,1.02,5.0,2.0
429000,3.67,2.0,2.5,1.79,5.0,0.0
430000,3.66,0.0,0.0,0.0,0.0,0.0
431000,3.65,0.0,0.0,0.0,0.0,0.0
432000,3.65,2.2,2.0,1.17,5.0,0.0
433000,3.64,1.7,1.0,1.9,5.0,0.0
434000,3.65,2.5,2.5,1.57,5.0,0.0
435000,3.65,2.2,2.0,1.47,5.0,0.0
436000,3.65,0.0,0.0,0.0,0.0,0.0
437000,3.66,1.0,0.0,1.34,4.0,0.0
438000,3.65,0.2,0.0,0.6,2.0,0.0
439000,3.65,0.7,0.0,1.1,3.0,0.0
440000,3.65,0.0,0.0,0.0,0.0,0.0
441000,3.65,2.2,1.0,2.6,6.0,0.0
442000,3.63,0.0,0.0,0.0,0.0,0.0
443000,3.65,2.5,2.0,0.67,4.0,2.0
444000,3.65,2.3,1.5,2.41,6.0,0.0
445000,3.65,2.2,2.0,0.4,3.0,2.0
446000,3.64,2.1,2.0,0.83,3.0,0.0
